Age,Gender,Education Level,Job Title,Years of Experience,Salary,City,Seniority Level,Industry,Remote Status
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,Hyderabad,Junior,IT,Remote
28.0,Female,Master's,Data Analyst,3.0,65000.0,Mumbai,Junior,Analytics,Onsite
45.0,Male,PhD,Senior Manager,15.0,150000.0,Delhi,Senior,Management,Remote
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,Mumbai,Junior,Sales,Hybrid
52.0,Male,Master's,Director,20.0,200000.0,Bangalore,Senior,Management,Remote
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,Bangalore,Junior,Analytics,Onsite
42.0,Female,Master's,Product Manager,12.0,120000.0,Delhi,Mid,Management,Remote
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,Delhi,Mid,Management,Onsite
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,Pune,Junior,General,Onsite
38.0,Male,PhD,Senior Scientist,10.0,110000.0,Delhi,Senior,Analytics,Remote
29.0,Male,Master's,Software Developer,3.0,75000.0,Pune,Junior,IT,Remote
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,Bangalore,Mid,Management,Onsite
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,Bangalore,Junior,Analytics,Remote
40.0,Female,Master's,Project Manager,14.0,130000.0,Hyderabad,Mid,Management,Hybrid
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,Pune,Junior,General,Onsite
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,Mumbai,Mid,Management,Remote
33.0,Female,Master's,Marketing Manager,7.0,90000.0,Pune,Mid,Management,Hybrid
39.0,Male,PhD,Senior Engineer,12.0,115000.0,Mumbai,Senior,IT,Onsite
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,Delhi,Junior,General,Remote
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,Delhi,Senior,Management,Hybrid
34.0,Female,Master's,Business Analyst,5.0,80000.0,Mumbai,Junior,Analytics,Hybrid
47.0,Male,Master's,VP of Operations,19.0,190000.0,Hyderabad,Junior,General,Remote
30.0,Male,Bachelor's,IT Support,2.0,50000.0,Mumbai,Junior,General,Hybrid
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,Mumbai,Junior,General,Onsite
41.0,Male,Master's,Financial Manager,13.0,140000.0,Delhi,Mid,Management,Onsite
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,Bangalore,Junior,General,Remote
37.0,Female,Master's,Software Manager,11.0,110000.0,Delhi,Mid,Management,Onsite
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,Hyderabad,Junior,IT,Onsite
